Dates,Time,Open,High,Low,Close,Adj Close,Volume
2022-10-03,00:00:00,138.2100067138672,143.07000732421875,137.69000244140625,142.4499969482422,142.21408081054688,114311700
2022-10-04,00:00:00,145.02999877929688,146.22000122070312,144.25999450683594,146.10000610351562,145.85804748535156,87830100
2022-10-05,00:00:00,144.07000732421875,147.3800048828125,143.00999450683594,146.39999389648438,146.15753173828125,79471000
2022-10-06,00:00:00,145.80999755859375,147.5399932861328,145.22000122070312,145.42999267578125,145.18914794921875,68402200
2022-10-07,00:00:00,142.5399932861328,143.10000610351562,139.4499969482422,140.08999633789062,139.8579864501953,85859100
2022-10-10,00:00:00,140.4199981689453,141.88999938964844,138.57000732421875,140.4199981689453,140.18743896484375,74899000
2022-10-11,00:00:00,139.89999389648438,141.35000610351562,138.22000122070312,138.97999572753906,138.7498321533203,77033700
2022-10-12,00:00:00,139.1300048828125,140.36000061035156,138.16000366210938,138.33999633789062,138.1108856201172,70433700
2022-10-13,00:00:00,134.99000549316406,143.58999633789062,134.3699951171875,142.99000549316406,142.75320434570312,113224000
2022-10-14,00:00:00,144.30999755859375,144.52000427246094,138.19000244140625,138.3800048828125,138.1508331298828,88512300
2022-10-17,00:00:00,141.07000732421875,142.89999389648438,140.27000427246094,142.41000366210938,142.17416381835938,85250900
2022-10-18,00:00:00,145.49000549316406,146.6999969482422,140.61000061035156,143.75,143.51193237304688,99136600
2022-10-19,00:00:00,141.69000244140625,144.9499969482422,141.5,143.86000061035156,143.6217498779297,61758300
2022-10-20,00:00:00,143.02000427246094,145.88999938964844,142.64999389648438,143.38999938964844,143.15252685546875,64522000
2022-10-21,00:00:00,142.8699951171875,147.85000610351562,142.64999389648438,147.27000427246094,147.02610778808594,86464700
2022-10-24,00:00:00,147.19000244140625,150.22999572753906,146.0,149.4499969482422,149.20248413085938,75981900
2022-10-25,00:00:00,150.08999633789062,152.49000549316406,149.36000061035156,152.33999633789062,152.08770751953125,74732300
2022-10-26,00:00:00,150.9600067138672,151.99000549316406,148.0399932861328,149.35000610351562,149.1026611328125,88194300
2022-10-27,00:00:00,148.07000732421875,149.0500030517578,144.1300048828125,144.8000030517578,144.56019592285156,109180200
2022-10-28,00:00:00,148.1999969482422,157.5,147.82000732421875,155.74000549316406,155.48208618164062,164762400
